_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
90638,NONE,,YES,YES,YES,YES,YES,Not Available,12.0,162.0,"MAR 21, 2017",,,,FULL REPLACEMENT - MCE,REPLACED,YES,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,ORIGINAL,1973.0,HOT WATER,YES,YES,NO,YES,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,YES,4.0,6.0,2.0,18.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9P,,YES,TCH,TCHC,BACK OF BUILDING,4155813.0,NO,NO,NO,2063  ISLINGTON AVE ,YES,YES,1973.0,YES,PAID,1,SINGLE PANE,1973.0,2000.0,2017.0,,,,,,,,
90639,INDIVIDUAL UNITS,Indoor recreation room,YES,YES,YES,NO,YES,Not Available,3.0,32.0,"NOV 1, 2016",,,,,ORIGINAL,YES,YES,Green Bin / Organics,YES,YES,OUTSIDE THE BUILDING,ORIGINAL,2009.0,ELECTRIC,YES,YES,NO,YES,YES,9 AM TO 9 PM,BASEMENT,YES,32.0,0.0,2.0,8.0,YES,YES,"Carport , Surface Parking",M6J,,NO,,SOCIAL HOUSING,OUTSIDE THE BUILDING,4155840.0,NO,NO,NO,300  SHAW ST ,YES,YES,1966.0,YES,UNAVAILABLE,11,DOUBLE PANE,1966.0,,2017.0,,,,,,,,
90640,NONE,,YES,YES,NO,NO,NO,Not Available,4.0,30.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,SOUTH EXTERIOR,ORIGINAL,1956.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,B1,YES,0.0,1.0,0.0,4.0,NO,YES,Surface Parking,M1L,,YES,METCAP LIVING MANAGEMENT INC,PRIVATE,OUTDOOR,4152622.0,NO,NO,NO,9  CRAIGTON DR ,YES,YES,1956.0,,FREE,21,DOUBLE PANE,1956.0,,2017.0,,,,,,,,
90641,NONE,,YES,YES,YES,NO,NO,Not Available,4.0,32.0,,,,,,,,NO,Green Bin / Organics,YES,NO,BESIDE PARKING LOT AREA,REPLACED,1990.0,HOT WATER,NO,YES,NO,NO,YES,24/7,BASEMENT,YES,0.0,0.0,0.0,4.0,YES,YES,Surface Parking,M1L,,YES,,PRIVATE,BESIDE PARKING LOT AREA,4152627.0,NO,YES,NO,12  CRAIGTON DR ,YES,YES,2000.0,,UNAVAILABLE,21,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
90642,NONE,,YES,YES,YES,NO,NO,Not Available,4.0,30.0,,,,,,,YES,NO,Recycling bins,YES,NO,,ORIGINAL,1955.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,B1,YES,0.0,1.0,0.0,4.0,NO,YES,Surface Parking,M1L,,YES,METCAP LIVING MANAGEMENT INC,PRIVATE,OUTDOOR,4152631.0,NO,NO,NO,40  CRAIGTON DR ,YES,YES,1955.0,,FREE,21,DOUBLE PANE,1955.0,,2017.0,,,,,,,,
90643,NONE,,YES,YES,YES,NO,NO,Not Available,4.0,30.0,,,,,,,YES,NO,Recycling bins,YES,NO,,ORIGINAL,1955.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,B1,YES,0.0,1.0,0.0,4.0,NO,YES,Surface Parking,M1L,,YES,METCAP LIVING MANAGEMENT INC,PRIVATE,OUTDOOR,4152632.0,NO,NO,NO,32  CRAIGTON DR ,YES,YES,1955.0,,FREE,21,DOUBLE PANE,1955.0,,2017.0,,,,,,,,
90644,NONE,Child play area,YES,NO,YES,YES,NO,0 indoor parking spots and 10 outdoor parking spots,4.0,26.0,,,,,,,,NO,Green Bin / Organics,YES,NO,BY SPECIAL GARBAGE HOUSE,REPLACED,2018.0,HOT WATER,NO,YES,NO,NO,YES,24/7,LOWER LEVEL,YES,0.0,25.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M1R,,YES,,PRIVATE,BY SPECIAL GARBAGE HOUSE,4152641.0,NO,YES,NO,1637  VICTORIA PARK AVE ,NO,NO,,,FREE,21,DOUBLE PANE,1954.0,,2019.0,,,,,,,,
90645,NONE,Child play area,YES,YES,YES,YES,NO,15 indoor parking spots and 0 outdoor parking spots,7.0,103.0,"NOV 19, 2014",PLAYGROUND ,,,,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,2015.0,HOT WATER,NO,YES,NO,YES,YES,7 AM TO 11 PM,GROUND FLOOR OF BUILDING,YES,0.0,11.0,2.0,15.0,YES,YES,Surface Parking,M1R,NONE,YES,,PRIVATE,REAR OF BUILDING,4152652.0,NO,NO,NO,1765  LAWRENCE AVE E,YES,YES,1964.0,YES,FREE,21,DOUBLE PANE,1964.0,2014.0,2017.0,,,,,,,,
90646,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,11.0,330.0,"DEC 31, 2014",,,,,REPLACED,YES,NO,Recycling bins,YES,YES,,ORIGINAL,1979.0,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,1.0,6.0,2.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg",M1M,,YES,,TCHC,REAR OF BUILDING,4152777.0,NO,NO,NO,17  BRIMLEY RD ,YES,YES,1979.0,NO,UNAVAILABLE,20,DOUBLE PANE,1979.0,2017.0,2017.0,,,,,,,,
90647,NONE,,NO,NO,YES,YES,YES,Not Available,3.0,50.0,"FEB 16, 2016",,,,,REPLACED,,NO,Recycling bins,YES,YES,,REPLACED,2014.0,HOT WATER,NO,YES,NO,NO,YES,8:00 AM TO 10:00 PM,GROUND FLOOR,YES,0.0,0.0,1.0,8.0,NO,NO,"Ground Level Garage , Surface Parking",M3K,,YES,MARBROOK DEVELOPMENTS LTD. ,PRIVATE,SOUTH EST CORNER OF PROPERTY,4154381.0,NO,YES,NO,31  PAXTONIA BLVD ,YES,NO,1964.0,NO,UNAVAILABLE,6,DOUBLE PANE,1964.0,2015.0,2017.0,,,,,,,,
90648,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,42.0,,,,,,,YES,YES,Recycling bins,YES,NO,,ORIGINAL,1960.0,HOT WATER,NO,YES,NO,YES,YES,9:00 AM - 9:00 PM,GROUND LEVEL,YES,0.0,1.0,0.0,6.0,NO,YES,"Ground Level Garage , Surface Parking",M3M,,YES,2585277 ONTARIO LIMITED,PRIVATE,OUTSIDE,4154384.0,NO,YES,NO,1537  WILSON AVE ,NO,,,,FREE,6,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
90649,NONE,,YES,NO,YES,YES,YES,Not Available,4.0,55.0,"JUL 18, 2017",,,,,REPLACED,YES,NO,Recycling bins,YES,NO,,REPLACED,1997.0,HOT WATER,NO,YES,NO,YES,YES,24/7,BASEMENT,YES,0.0,0.0,1.0,6.0,NO,YES,Surface Parking,M3M,AS PER LEASE AGREEMENT,YES,,PRIVATE,SOUTH END OF BUILDING,4154387.0,NO,YES,NO,1515  WILSON AVE ,NO,,,YES,FREE,6,DOUBLE PANE,1958.0,2017.0,2017.0,,,,,,,,
90650,NONE,,YES,NO,NO,NO,NO,Not Available,3.0,12.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,FRONT OF BUILDING,REPLACED,2012.0,HOT WATER,NO,YES,NO,YES,NO,,,NO,0.0,0.0,0.0,,YES,YES,Surface Parking,M3M,,NO,VINCENZA PAOLELLA,PRIVATE,FRONT OF BUILDING,4154401.0,NO,YES,NO,2217  JANE ST ,NO,NO,,,FREE,6,DOUBLE PANE,1950.0,,2017.0,,,,,,,,
90651,NONE,"Indoor recreation room , Indoor exercise room , Child play area",YES,YES,YES,YES,NO,Not Available,14.0,251.0,"NOV 18, 2013",PLAYGROUND,A FEW CARDIO MACHINES,,INTERIOR AND CONTROLS,REPLACED,,NO,Green Bin / Organics,YES,YES,SIDE OF THE BUILDING,REPLACED,1997.0,HOT WATER,NO,YES,NO,NO,YES,24/7,BASEMENT,YES,0.0,0.0,3.0,25.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4A,,YES,,PRIVATE,SIDE OF THE BUILDING,4154884.0,NO,YES,NO,1441  LAWRENCE AVE E,YES,YES,1971.0,YES,PAID,16,DOUBLE PANE,1961.0,2010.0,2017.0,,,,,,,,
90652,NONE,,YES,NO,YES,YES,YES,Not Available,4.0,234.0,"SEP 17, 2017",,,,,ORIGINAL,,NO,Recycling bins,YES,YES,,ORIGINAL,1966.0,HOT WATER,YES,YES,NO,NO,YES,24 HOURS,,NO,234.0,0.0,4.0,24.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3A,,YES,,PRIVATE,SOUTH WEST SIDE OF BUILDING,4154906.0,NO,YES,NO,250  CASSANDRA BLVD ,YES,YES,1966.0,NO,FREE,16,DOUBLE PANE,1966.0,,2017.0,,,,,,,,
90653,NONE,,YES,NO,YES,YES,NO,Not Available,3.0,11.0,,,,,,,,YES,Green Bin / Organics,YES,NO,OUTSIDE,REPLACED,2008.0,HOT WATER,NO,YES,NO,NO,YES,24 HRS.,BASEMENT,NO,,10.0,0.0,,,YES,Surface Parking,M1R,,,,PRIVATE,OUTSIDE,4154907.0,NO,YES,NO,2126  VICTORIA PARK AVE ,NO,,,,UNAVAILABLE,16,DOUBLE PANE,1961.0,,2018.0,,,,,,,,
90654,NONE,,YES,YES,YES,YES,NO,Not Available,11.0,126.0,"JUN 1, 2017",,,,,ORIGINAL,,NO,Recycling bins,YES,YES,,ORIGINAL,1972.0,HOT WATER,NO,YES,NO,NO,YES,8AM - 10PM,MAIN FLOOR,YES,0.0,1.0,2.0,16.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9R,,YES,,PRIVATE,NORTH SIDE OF BUILDING,4155406.0,NO,YES,NO,675  MARTIN GROVE RD ,YES,YES,1972.0,YES,FREE,2,DOUBLE PANE,1972.0,,2017.0,,,,,,,,
90655,NONE,,YES,,YES,YES,NO,Not Available,3.0,39.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,2012.0,HOT WATER,NO,YES,NO,NO,YES,8 AM TO 11 PM,BASEMENT LEVEL,YES,,0.0,0.0,5.0,YES,YES,Surface Parking,M9R,NO EXOTIC ANIMALS,YES,,PRIVATE,,4155411.0,NO,YES,NO,111  BLACKFRIAR AVE ,YES,,,,UNAVAILABLE,1,DOUBLE PANE,1968.0,,2020.0,,,,,,,,
90656,NONE,,YES,YES,YES,YES,NO,Not Available,5.0,62.0,"AUG 15, 2017",,,,COMPLETE MODERNISATION ,REPLACED,,NO,Green Bin / Organics,YES,NO,BACK OF THE BUILDING,REPLACED,2017.0,HOT WATER,NO,YES,NO,NO,YES,24 HRS,1ST FLOOR,NO,0.0,1.0,1.0,8.0,NO,YES,"Ground Level Garage , Surface Parking",M9R,,YES,CAPREIT,PRIVATE,BACK OF THE BUILDING,4155415.0,NO,YES,NO,25  BRIDESBURG DR ,YES,YES,1965.0,YES,FREE,1,DOUBLE PANE,1965.0,2012.0,2017.0,,,,,,,,
90657,NONE,,YES,NO,YES,NO,NO,Not Available,7.0,104.0,"SEP 3, 2015",,,,ALL,REPLACED,,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING,ORIGINAL,1960.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,FIRST FLOOR,YES,0.0,0.0,2.0,10.0,NO,YES,Surface Parking,M1R,,YES,RANEE MANAGEMENT,PRIVATE,BACK OF BUILDING,4156172.0,NO,NO,NO,1  TERRAVIEW BLVD ,YES,YES,1960.0,NO,FREE,21,DOUBLE PANE,1960.0,2003.0,2017.0,,,,,,,,
90658,NONE,Child play area,YES,YES,YES,YES,YES,Not Available,16.0,229.0,"NOV 3, 2016",FRONT OF THE BUILDING,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING,REPLACED,2014.0,HOT WATER,NO,YES,NO,YES,YES,8:00AM TO 9:00PM,MAIN FLOOR,NO,0.0,1.0,3.0,24.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1J,,YES,CAPREIT,PRIVATE,BACK OF BUILDING,4152800.0,NO,YES,NO,225  MARKHAM RD ,YES,YES,1969.0,YES,PAID,24,SINGLE PANE,1969.0,2016.0,2017.0,,,,,,,,
90659,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,11.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTSIDE,ORIGINAL,1998.0,FORCED AIR GAS,NO,YES,NO,NO,YES,8AM-10PM,BASEMENT,YES,0.0,11.0,0.0,2.0,NO,YES,"Ground Level Garage , Surface Parking",M3M,,YES,LINDAWACHTEL,PRIVATE,OUTSIDE,4154424.0,NO,YES,NO,2854  KEELE ST ,NO,,,,UNAVAILABLE,6,DOUBLE PANE,1955.0,,2017.0,,,,,,,,
90660,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,11.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,2016.0,HOT WATER,NO,NO,NO,NO,YES,9AM-9PM,BASEMENT,NO,0.0,50.0,0.0,2.0,YES,YES,"Ground Level Garage , Surface Parking",M3M,,NO,,PRIVATE,FIRST GARAGE,4154428.0,NO,YES,NO,2251  JANE ST ,NO,,,,UNAVAILABLE,6,THERMAL,1965.0,,2017.0,,,,,,,,
90661,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,11.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,2016.0,HOT WATER,NO,NO,NO,NO,YES,9AM-9PM,BASEMENT,NO,0.0,50.0,0.0,2.0,YES,YES,"Ground Level Garage , Surface Parking",M3M,,NO,,PRIVATE,FIRST GARAGE,4154433.0,NO,YES,NO,28  HEATHROW DR ,NO,,,,UNAVAILABLE,6,THERMAL,1965.0,,2017.0,,,,,,,,
90662,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,58.0,"JUN 6, 2017",,,,,ORIGINAL,,NO,Recycling bins,YES,YES,,REPLACED,2001.0,HOT WATER,YES,YES,NO,NO,YES,8AM TO 9PM,3RD AND 4TH FLOORS,YES,0.0,0.0,1.0,8.0,NO,NO,Surface Parking,M3A,,YES,,PRIVATE,COURTYARD,4154922.0,NO,YES,NO,1254  YORK MILLS RD ,YES,YES,1961.0,NO,FREE,16,DOUBLE PANE,1961.0,,2017.0,,,,,,,,
90663,NONE,,YES,NO,YES,YES,YES,Not Available,10.0,91.0,"SEP 30, 2021",,,,,REPLACED,,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING,REPLACED,2011.0,HOT WATER,YES,YES,NO,NO,YES,24 HOURS,2ND FLOOR,YES,0.0,0.0,2.0,12.0,NO,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3A,IN ACCORDANCE WITH THE RTA,YES,TOBIS INVESTMENTS INC.,PRIVATE,BACK OF BUILDING,4154927.0,NO,YES,NO,1210  YORK MILLS RD ,YES,YES,1901.0,YES,FREE,16,DOUBLE PANE,1963.0,2013.0,2017.0,,,,,,,,
90664,NONE,,YES,NO,YES,NO,NO,Not Available,4.0,36.0,,,,,,,,YES,Recycling bins,YES,NO,,REPLACED,2010.0,HOT WATER,YES,YES,NO,NO,YES,24/7,BASEMENT,YES,0.0,1.0,0.0,4.0,NO,NO,"Underground Garage , Garage accessible thru buildg",M5P,,NO,GREENWIN CORP.,PRIVATE,IN GARAGE,4154946.0,NO,YES,NO,1574  BATHURST ST ,YES,YES,1926.0,,UNAVAILABLE,12,DOUBLE PANE,1926.0,,2017.0,,,,,,,,
90665,NONE,,YES,NO,YES,YES,NO,8 indoor parking spots and 0 outdoor parking spots,4.0,34.0,,,,,,,NO,NO,Green Bin / Organics,YES,NO,FRONT - SW CORNER,REPLACED,1990.0,HOT WATER,NO,YES,NO,NO,YES,8 A.M. - 10 P.M.,LOWER LEVEL,YES,0.0,8.0,0.0,6.0,YES,YES,Surface Parking,M6E,,YES,,PRIVATE,"FRONT - WEST SIDE, SW CORNER",4155042.0,NO,NO,NO,1500  EGLINTON AVE W,NO,,,,FREE,8,DOUBLE PANE,1954.0,,2017.0,,,,,,,,
90666,NONE,,YES,YES,YES,YES,NO,Not Available,7.0,39.0,"DEC 11, 2013",,,,CONTROLLER & MACHINE,REPLACED,,NO,Recycling bins,YES,NO,,ORIGINAL,1959.0,HOT WATER,NO,YES,NO,NO,YES,8AM - 10PM,GROUND FLOOR,YES,0.0,0.0,1.0,4.0,NO,YES,Surface Parking,M6B,,YES,METCAP LIVING MANAGEMENT INC.,PRIVATE,BACK OF BUILDING,4155047.0,NO,NO,NO,837  ROSELAWN AVE ,YES,YES,1959.0,NO,UNAVAILABLE,8,DOUBLE PANE,1959.0,2007.0,2017.0,,,,,,,,
90667,NONE,,YES,YES,YES,YES,NO,Not Available,9.0,56.0,"APR 17, 2016",,,,,REPLACED,,NO,Green Bin / Organics,YES,NO,BACK OF BUILDING,ORIGINAL,1960.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS 7 DAYS WEEK,SECOND FLOOR,NO,1.0,43.0,1.0,6.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6B,,NO,LINWOOD MANAGEMENT CORPORATION,PRIVATE,BACK OF BUILDING,4155049.0,NO,YES,NO,822  ROSELAWN AVE ,NO,,,YES,FREE,8,DOUBLE PANE,1960.0,2014.0,2017.0,,,,,,,,
90668,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,12.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,BEHIND BUILDING,REPLACED,2017.0,FORCED AIR GAS,NO,YES,NO,YES,NO,,,NO,0.0,1.0,0.0,,YES,YES,Surface Parking,M6E,,YES,GLENDALE PROPERTIES INC.,PRIVATE,BEHIND BUILDING,4155063.0,NO,NO,NO,2036  DUFFERIN ST ,NO,,,,UNAVAILABLE,9,DOUBLE PANE,1950.0,,2017.0,,,,,,,,
90669,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,12.0,196.0,"JUN 23, 2016",,,,,REPLACED,YES,NO,Unknown,YES,YES,,ORIGINAL,1971.0,HOT WATER,YES,YES,NO,YES,YES,8:00AM TO 8:00PM,TBD,NO,1.0,6.0,2.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1P,,YES,,TCHC,,4155568.0,NO,NO,NO,7  GLAMORGAN AVE ,YES,YES,1971.0,YES,BOTH,21,DOUBLE PANE,1971.0,1999.0,2017.0,,,,,,,,
90670,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,13.0,128.0,"JAN 16, 2015",,,,,REPLACED,YES,NO,Unknown,YES,YES,,ORIGINAL,1970.0,HOT WATER,YES,YES,NO,YES,YES,8:00AM TO 8:00PM,TBD,NO,1.0,4.0,2.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1H,,YES,DEL MANAGEMENT,TCHC,,4155570.0,NO,NO,NO,55  GREENBRAE CRCT ,YES,YES,1970.0,YES,BOTH,24,SINGLE PANE,1970.0,1996.0,2017.0,,,,,,,,
90671,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,YES,YES,YES,Not Available,16.0,180.0,"JUL 11, 2017",,,,,ORIGINAL,YES,NO,Unknown,YES,YES,,ORIGINAL,1969.0,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,2.0,6.0,3.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1G,,YES,,TCHC,,4155578.0,NO,NO,NO,2190  ELLESMERE RD ,YES,YES,1961.0,YES,BOTH,24,DOUBLE PANE,1969.0,,2017.0,,,,,,,,
90672,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,YES,YES,YES,Not Available,16.0,180.0,"JUL 11, 2017",,,,,REPLACED,YES,YES,Green Bin / Organics,YES,YES,REAR OF BUILDING,ORIGINAL,1969.0,HOT WATER,YES,YES,NO,YES,YES,8:00AM TO 8:00PM,TBD,YES,1.0,4.0,3.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1G,,YES,,TCHC,REAR OF BUILDING,4155579.0,NO,NO,NO,2180  ELLESMERE RD ,YES,YES,1969.0,YES,BOTH,24,DOUBLE PANE,1969.0,1999.0,2017.0,,,,,,,,
90673,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,36.0,,,,,,,,YES,Recycling bins,YES,NO,,REPLACED,2006.0,HOT WATER,NO,YES,NO,NO,YES,9:00 AM - 9:00 PM,BASEMENT,NO,0.0,73.0,0.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M3K,,YES,MID-WILSON APTS LTD,PRIVATE,OUTSIDE,4156530.0,NO,YES,NO,927-931  WILSON AVE ,YES,YES,2006.0,,FREE,6,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
90674,NONE,"Indoor pool , Sauna",YES,YES,YES,YES,NO,0 indoor parking spots and 14 outdoor parking spots,19.0,304.0,"DEC 15, 2016",,,,ELEVATOR MODERNIZATION,REPLACED,,NO,Green Bin / Organics,YES,YES,OUTDOOR AREA,ORIGINAL,1968.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,1.0,4.0,27.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M2M,,YES,M&R PROPERTY MANAGEMENT,PRIVATE,OUTDOOR AREA,4156581.0,NO,YES,NO,6061  YONGE ST ,YES,YES,1968.0,NO,FREE,18,DOUBLE PANE,1968.0,2004.0,2017.0,,,,,,,,
90675,NONE,,YES,YES,YES,YES,NO,Not Available,12.0,141.0,"APR 21, 2017",,,,COMPLETE MOD,REPLACED,YES,NO,Green Bin / Organics,YES,YES,SOUTH SIDE OF BUILDING,REPLACED,2007.0,FORCED AIR GAS,YES,YES,NO,YES,YES,24 HOURS,SECOND FLOOR,YES,0.0,3.0,2.0,12.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",M9R,,YES,SUMMIT HOLDINGS,PRIVATE,SOUTH SIDE OF BUILDING,4156583.0,NO,YES,NO,60  CALLOWHILL DR ,YES,YES,1968.0,YES,FREE,2,DOUBLE PANE,1968.0,2015.0,2017.0,,,,,,,,
90676,NONE,,YES,YES,YES,NO,NO,0 indoor parking spots and 8 outdoor parking spots,3.0,16.0,,,,,,,YES,YES,Green Bin / Organics,YES,NO,BACK OF BUILDING,ORIGINAL,1970.0,FORCED AIR GAS,NO,YES,NO,YES,YES,24HRS,BASEMENT,NO,0.0,0.0,0.0,2.0,YES,YES,Surface Parking,M4L,,YES,FIRM CAPITAL PROPERTIES INC,PRIVATE,BACK OF BUILDING,4156593.0,NO,YES,NO,12  KINGSTON RD ,YES,YES,1970.0,,UNAVAILABLE,19,SINGLE PANE,1970.0,,2017.0,,,,,,,,
90677,NONE,,YES,YES,YES,YES,NO,Not Available,10.0,109.0,"AUG 16, 2017",,,,,ORIGINAL,,NO,Recycling bins,YES,NO,,ORIGINAL,1964.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,0.0,2.0,11.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4P,,YES,,PRIVATE,SOUTH EAST CORNER OF BUILDING,4153829.0,NO,NO,NO,33  ERSKINE AVE ,YES,YES,1990.0,NO,FREE,15,DOUBLE PANE,1964.0,,2017.0,,,,,,,,
90678,NONE,Outdoor pool,YES,YES,YES,YES,YES,60 indoor parking spots and 0 outdoor parking spots,16.0,188.0,"OCT 15, 2016",,,,ELEVATOR CABS AND ALL CONTROLS,REPLACED,YES,NO,Green Bin / Organics,YES,YES,REAR PARKING LOT,REPLACED,2012.0,HOT WATER,NO,YES,NO,YES,YES,247,ON EACH FLOOR,YES,0.0,0.0,3.0,32.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4P,,YES,,PRIVATE,REAR PARKING LOT,4153830.0,NO,NO,NO,55  ERSKINE AVE ,YES,YES,1964.0,YES,FREE,15,DOUBLE PANE,1964.0,2006.0,2017.0,,,,,,,,
90679,NONE,,YES,NO,YES,YES,NO,15 indoor parking spots and 0 outdoor parking spots,4.0,34.0,"JUL 8, 2017",,,,,ORIGINAL,,NO,Green Bin / Organics,NO,NO,DRIVEWAY EXIT,REPLACED,2002.0,HOT WATER,NO,YES,NO,NO,YES,8.30 AM TO 9.30PM,BASEMENT,YES,0.0,19.0,1.0,5.0,YES,YES,"Ground Level Garage , Surface Parking",M4P,,YES,109 ERSKINE INC,PRIVATE,DRIVEWAY EXIT,4153832.0,NO,YES,NO,109  ERSKINE AVE ,YES,YES,1998.0,YES,FREE,15,DOUBLE PANE,1947.0,,2017.0,,,,,,,,
90680,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,YES,YES,YES,Not Available,3.0,75.0,"FEB 10, 2016",PARK ON SITE,,,FULL REPLACEMENT - NORTHERN,REPLACED,YES,NO,Unknown,YES,YES,,ORIGINAL,1956.0,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,1.0,6.0,1.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4P,,YES,,TCHC,,4153833.0,NO,NO,NO,28  BROADWAY AVE ,YES,YES,1956.0,YES,BOTH,15,DOUBLE PANE,1956.0,1994.0,2017.0,,,,,,,,
